vernacular	tree	leaf	la	ldmc	lt	sla	tlp
ANDIR	656	5	108.43774117647058	0.4355849056603774	0.219	93.95691341797715	NA
ANDIR	661	3	66.25093936651582	0.44713513513513514	0.26533333333333337	80.09059401174542	NA
ANDIR	661	4	63.61022262443438	0.37453237410071943	0.217	122.20671240806378	NA
ANDIR	661	5	71.2528036199095	0.4153703703703704	0.22366666666666668	105.89576957707871	NA
ANDIR	820	3	81.37666606334841	0.4047979797979798	0.21366666666666667	101.53150625382835	NA
ANDIR	820	4	70.27640180995475	0.3928915662650603	0.21333333333333332	107.75711306389373	NA
ANDIR	820	5	76.75833846153846	0.3988383838383838	0.23233333333333336	97.20042378198491	NA
ANGEL	5663	3	74.2678588235294	0.44124137931034485	0.22566666666666668	118.65932651464892	NA
ANGEL	5663	4	176.27885248868776	0.4279317697228145	0.24266666666666667	89.1856817879503	NA
ANGEL	5663	5	176.27885248868776	0.46465909090909085	0.24333333333333332	145.91641260977931	NA
ANGEL	5677	3	173.32121628959274	0.433473282442748	0.201	154.50969342566646	NA
ANGEL	5677	4	0	0.4290223463687151	0.1993333333333333	0	NA
ANGEL	5677	5	230.655207239819	0.4357183908045977	0.18233333333333335	161.14254542568042	NA
ANGEL	5993	3	108.9433628959276	0.531869918699187	0.22033333333333333	85.02827397214794	NA
ANGEL	5993	4	93.53388597285064	0.546468085106383	0.22933333333333333	74.09931636929447	NA
ANGEL	5993	5	120.0539402714932	0.5106201550387597	0.20033333333333336	93.5604848986108	NA
ANGEL	6243	3	68.24053574660633	0.4810775862068966	0.295	61.73932905507663	NA
ANGEL	6243	4	82.49605791855203	0.47130742049469965	0.2996666666666667	62.49759642948496	NA
ANGEL	6243	5	54.274338461538456	0.4476646706586827	0.25866666666666666	73.81280187096445	NA
ANGEL	6528	3	129.0366696832579	0.5028968253968255	0.14666666666666667	104.42668258630866	NA
ANGEL	6528	4	101.43903348416288	0.5133160621761659	0.1683333333333333	104.0188796531727	NA
ANGEL	6528	5	157.4094624434389	0.49996551724137933	0.15733333333333333	110.9287874120824	NA
CASTA	5744	3	147.74829683257917	0.539975845410628	0.2836666666666667	66.1434543984309	NA
CASTA	5744	4	146.77997828054296	0.528910411622276	0.312	67.21097606143438	NA
CASTA	5744	5	75.73594570135747	0.4682882882882883	0.26466666666666666	72.85158057658792	NA
CASTA	6568	3	294.3808253393665	0.4660116448326055	0.159	92.03291952372439	NA
CASTA	6568	4	122.24227330316742	0.4481009615384615	0.21866666666666668	65.5781473281418	NA
CASTA	6568	5	93.36776108597284	0.43868902439024393	0.24066666666666667	64.89100239656423	NA
CASTA	6617	1	67.4227330316742	NA	0.23266666666666663	NA	NA
CASTA	6617	2	100.78122352941176	NA	0.168	NA	NA
CASTA	6617	3	163.92540452488686	NA	0.20533333333333337	NA	NA
CASTA	6617	4	125.23224253393664	NA	0.15766666666666668	NA	NA
CASTA	6617	5	107.12713846153844	NA	0.18666666666666665	NA	NA
CEDRU	123	3	26.67419366515837	0.4167058823529412	0.25866666666666666	75.32087349990164	NA
CEDRU	123	4	29.190316742081443	0.3982352941176471	0.249	86.23843547190492	NA
CEDRU	123	5	28.764412669683253	0.4175581395348837	0.25666666666666665	80.1021760031048	NA
CEDRU	278	3	33.04296470588235	0.4158904109589041	0.20366666666666663	108.94917699521281	NA
CEDRU	278	4	29.55880180995475	0.3492537313432836	0.197	126.41257686506553	NA
CEDRU	278	5	27.37464977375565	0.40871428571428575	0.21166666666666667	95.75712064730712	NA
CEDRU	292	3	21.31973212669683	0.3448275862068966	0.23933333333333337	106.70179185520358	NA
