vernacular	tree	leaf	tlp	area_excluded	area_included	lt	sw	dw
COPAI	6897	1	-2.13068	81.30698280542985	81.45108778280542	0.183	1.93	1.0124
COPAI	6897	2	-2.17436	45.30554570135746	45.47529411764705	0.17633333333333331	1.03	0.5482
COPAI	6898	1	-2.50716	75.66180271493212	75.93746968325792	0.174	1.62	0.8332
COPAI	6898	2	-2.56332	63.50151674208144	63.831257918552026	0.17733333333333334	1.34	0.7073
COPAI	6910	1	-2.33244	46.31177194570135	46.68248687782805	0.169	0.95	0.0984
COPAI	6910	1	-2.33244	46.31177194570135	46.68248687782805	0.169	0.95	0.5272
COPAI	6910	1	-2.33244	46.31177194570135	46.68248687782805	0.14933333333333332	0.18	0.0984
COPAI	6910	1	-2.33244	46.31177194570135	46.68248687782805	0.14933333333333332	0.18	0.5272
COPAI	6910	2	-2.43228	57.212463348416286	57.62247963800905	0.18133333333333332	1.21	0.0919
COPAI	6910	2	-2.43228	57.212463348416286	57.62247963800905	0.18133333333333332	1.21	0.6655
COPAI	6910	2	-2.43228	57.212463348416286	57.62247963800905	0.2	0.19	0.0919
COPAI	6910	2	-2.43228	57.212463348416286	57.62247963800905	0.2	0.19	0.6655
QUARU	7589	1	-1.80412	22.438566515837103	22.51661176470588	0.266	0.59	0.2851
QUARU	7589	2	-1.65228	18.634696832579184	18.73364705882353	0.25133333333333335	0.52	0.2389
FREIJ	7121	1	-1.83116	38.59950769230769	38.68034027149321	0.265	0.96	0.3866
FREIJ	7121	2	-1.80828	28.098798190045247	28.17935203619909	0.242	0.61	0.2399
VIROL	6637	1	-1.91644	37.62031855203619	37.71871131221719	0.22033333333333333	0.93	0.4287
VIROL	6637	2	-1.91852	25.23286515837104	25.308680542986423	0.22633333333333333	0.59	0.263
FREIJ	7134	1	-1.723	79.48072398190045	79.61869683257918	0.237	1.57	0.5968
FREIJ	7134	2	-1.64188	136.26867692307692	136.46852850678732	0.274	3.59	1.4608
QUARU	7334	1	-1.97676	29.994461538461536	30.07752398190045	NA	NA	0.3802
QUARU	7334	2	-2.139	26.674472398190044	26.758928506787328	NA	NA	0.3333
COPAI	6896	1	-2.3782	57.93020090497737	58.24907149321267	0.19833333333333333	1.39	0.7277
COPAI	6896	1	-2.45516	57.93020090497737	58.24907149321267	0.19833333333333333	1.39	0.7277
VIROL	6404	1	-1.463	54.85689049773755	54.99291221719456	0.152	1.1	NA
VIROL	6404	2	-1.36316	51.64309864253393	51.76267511312217	0.14233333333333334	0.92	NA
QUARU	7333	1	-1.67932	21.800267873303163	21.890298642533935	0.251	0.61	0.219
QUARU	7333	2	-1.64604	23.18055384615384	23.268076018099546	0.242	0.62	0.2175
CEDRU	123	1	-1.63356	34.245140271493206	34.37447239819004	0.23433333333333337	0.93	0.4061
CEDRU	123	2	-1.62732	31.388684162895924	31.495438914027144	0.25166666666666665	0.95	0.4154
PARAP	5375	1	-1.983	108.77946787330316	108.88510769230768	0.22133333333333333	2.83	1.2446
PARAP	5375	2	-1.83948	115.20593665158368	115.3508778280543	0.213	3.26	1.4166
PARAP	1391	1	-1.7958	104.67540271493212	104.80389864253392	0.23333333333333336	3.15	1.3787
PARAP	1391	2	-1.78956	48.02040542986425	48.1246515837104	0.24233333333333337	1.31	NA
CEDRU	527	1	-1.3548399999999998	24.25869321266968	24.36907149321267	0.21433333333333332	0.67	0.2214
CEDRU	527	2	-1.40268	28.08569773755656	28.167645248868773	0.26933333333333337	0.88	0.3228
ANDIR	266	1	-1.81244	87.56537556561085	87.72090859728505	0.29666666666666663	2.78	1.2813
ANDIR	266	2	-1.8478	52.07764343891402	52.61615565610859	0.30866666666666664	1.7	0.6645
CEDRU	1623	1	-1.8374	32.52396380090497	32.622077828054294	0.239	0.89	0.3729
CEDRU	1623	2	-1.39228	28.48902443438914	28.58184253393665	0.21333333333333332	0.66	0.2181
PARAP	276	1	-1.5004399999999998	48.767131221719445	49.0768036199095	0.168	0.97	NA
PARAP	276	2	-1.3902	51.555855203619906	51.69243438914027	0.16999999999999998	1.12	NA
JARAN	6947	1	-2.45932	71.01866787330316	71.12458642533936	0.17666666666666667	1.52	0.8644
JARAN	6947	2	-2.29708	63.43852307692307	63.48646515837103	0.20366666666666663	1.58	0.8944
CEDRU	292	1	-1.3798	28.24011583710407	28.353560180995473	0.225	0.75	0.2438
CEDRU	292	2	-1.45884	24.310537556561084	24.480564705882347	0.22866666666666668	0.67	0.2168
ANDIR	661	1	-1.723	130.25417556561086	130.39660814479635	0.23166666666666663	3.17	1.3583
ANDIR	661	2	-1.73132	101.9825628959276	102.14673665158372	0.231	2.36	0.9352
ANDIR	656	1	-1.88732	117.32430769230768	117.40876380090496	0.232	2.97	1.3145
ANDIR	656	2	-1.70012	77.8515294117647	78.02796742081448	0.21466666666666667	1.73	0.6192
ANDIR	270	1	-1.85612	72.26990045248868	72.3593737556561	0.22166666666666668	1.7	0.7324
ANDIR	270	2	-1.68556	84.07368687782805	84.16009411764705	0.215	1.9	0.7348
CEDRU	278	1	-1.7438	27.087276018099544	27.228314932126693	0.19966666666666663	0.62	0.2463
CEDRU	278	2	-1.62732	31.35607239819004	31.461433484162892	0.19133333333333333	0.65	0.2444
ANDIR	820	1	-1.74172	86.7478515837104	86.85404886877828	0.22	2.21	0.8842
ANDIR	820	2	-1.671	102.97318009049772	103.08132850678732	0.2303333333333333	2.61	1.0394
PARAP	5887	1	-1.90812	64.31207239819004	64.6864108597285	0.2693333333333333	2.09	1.0238
PARAP	5887	2	-1.90812	61.219808144796374	61.323496832579174	0.2866666666666667	1.98	NA
PARAP	2035	1	-1.7333999999999998	80.80749321266967	80.91815022624434	0.3423333333333333	2.74	1.2836
PARAP	2035	2	-1.67724	102.41655022624433	102.53779909502262	0.37766666666666665	3.92	NA
CUPIU	9103	1	-1.98508	23.66136832579185	23.877386425339363	NA	NA	0.1659
CUPIU	9103	2	-2.035	14.697035294117644	14.808249773755657	NA	NA	0.1377
CUPIU	8452	1	-1.7854	40.90713846153846	41.0320108597285	NA	NA	0.2468
CUPIU	8452	2	-1.61692	31.398718552036197	31.478993665158367	NA	NA	0.2036
COPAI	6910	1	-2.46764	46.31177194570135	46.68248687782805	0.169	0.95	0.0984
COPAI	6910	1	-2.46764	46.31177194570135	46.68248687782805	0.169	0.95	0.5272
COPAI	6910	1	-2.46764	46.31177194570135	46.68248687782805	0.14933333333333332	0.18	0.0984
COPAI	6910	1	-2.46764	46.31177194570135	46.68248687782805	0.14933333333333332	0.18	0.5272
COPAI	6910	2	-2.4094	57.212463348416286	57.62247963800905	0.18133333333333332	1.21	0.0919
COPAI	6910	2	-2.4094	57.212463348416286	57.62247963800905	0.18133333333333332	1.21	0.6655
COPAI	6910	2	-2.4094	57.212463348416286	57.62247963800905	0.2	0.19	0.0919
COPAI	6910	2	-2.4094	57.212463348416286	57.62247963800905	0.2	0.19	0.6655
QUARU	7541	1	-1.84156	11.829708597285066	11.92196923076923	0.234	0.32	0.1435
QUARU	7541	2	-1.77916	12.15443257918552	12.257006334841629	0.24	0.31	0.1459
CUPUI	8116	1	-1.86652	NA	NA	0.226	0.84	NA
CUPUI	8116	2	-1.88732	NA	NA	0.20866666666666667	0.8	NA
CUPUI	8833	1	-1.5046	NA	NA	0.22733333333333333	1.01	NA
CUPUI	8833	2	-1.567	NA	NA	0.22333333333333333	0.79	NA
JARAN	4646	1	-1.65852	110.2369628959276	110.7361737556561	0.17633333333333331	2.3	0.9513
JARAN	4646	2	-1.67516	117.6395547511312	119.15084524886876	0.20233333333333337	2.73	1.1847
FREIJ	6416	1	-1.36316	27.176191855203616	27.28294660633484	0.25133333333333335	0.67	NA
FREIJ	6416	2	-1.36524	64.01494298642534	64.09967782805428	0.25	1.5	NA
QUARU	8499	1	-1.83116	26.355601809954745	26.442845248868775	0.238	0.73	0.335
QUARU	8499	2	-1.6647599999999998	24.155840723981896	24.259808144796377	0.22133333333333333	0.61	0.2443
CUPUI	8188	1	-1.88316	NA	NA	0.19433333333333333	0.34	NA
CUPUI	8188	2	-1.8686	NA	NA	0.21866666666666668	0.23	NA
ANDIR	266	3	NA	73.62036199095022	73.62342805429863	0.31433333333333335	2.35	1.0924
ANDIR	266	4	NA	43.27804162895927	43.28500995475113	0.328	1.57	0.8349
ANDIR	266	5	NA	51.214964705882345	51.50624072398189	0.24033333333333337	1.32	0.6043
ANDIR	270	3	NA	50.693733936651576	50.69652126696832	0.216	1.13	0.4088
ANDIR	270	4	NA	89.5728108597285	89.57308959276018	0.18433333333333332	1.51	0.5313
ANDIR	270	5	NA	35.6048	35.6187366515837	0.20833333333333331	0.73	0.2769
